year,software,citations
2010,SAS,88900
2011,SAS,88000
2012,SAS,92900
2013,SAS,85400
2014,SAS,79300
2015,SAS,70800
2016,SAS,61600
2017,SAS,52100
2018,SAS,35600
2010,Prism,32400
2011,Prism,44200
2012,Prism,53800
2013,Prism,60700
2014,Prism,61200
2015,Prism,57800
2016,Prism,50400
2017,Prism,42200
2018,Prism,33500
2016,JASP,218
2017,JASP,511
2018,JASP,1110
1995,R,1110
1996,R,1060
1997,R,1070
1998,R,1150
1999,R,1110
2000,R,1370
2001,R,1640
2002,R,1980
2003,R,2580
2004,R,3800
2005,R,5990
2006,R,8420
2007,R,11900
2008,R,17000
2009,R,18600
2010,R,21700
2011,R,24400
2012,R,27000
2013,R,29100
2014,R,32000
2015,R,36800
2016,R,45700
2017,R,57500
2018,R,49200
1995,SPSS,10600
1996,SPSS,12700
1997,SPSS,17300
1998,SPSS,24500
1999,SPSS,38200
2000,SPSS,51300
2001,SPSS,87800
2002,SPSS,123000
2003,SPSS,174000
2004,SPSS,208000
2005,SPSS,290000
2006,SPSS,310000
2007,SPSS,353000
2008,SPSS,368000
2009,SPSS,367000
2010,SPSS,394000
2011,SPSS,371000
2012,SPSS,335000
2013,SPSS,323000
2014,SPSS,283000
2015,SPSS,229000
2016,SPSS,171000
2017,SPSS,124000
2018,SPSS,85700
2010,STATA,15500
2011,STATA,17600
2012,STATA,19700
2013,STATA,21900
2014,STATA,26700
2015,STATA,30800
2016,STATA,35300
2017,STATA,36900
2018,STATA,33400
